,,,JYB_YSL_YJY_ISR,JYB_NSL_YJY_ISR,TFB_YSL_NJY_ISR,TFB_NSL_NJY_ISR,SLY_YSL_YJY_CSH,SLY_YSL_NJY_CSH,JSD_NSL_YJY_CSH,JSD_NSL_NJY_CSH,AJFW_NSL_YJY,MFB_YSL_YJY_ISR,IMFB_NSL_YJY_ISR,IMFB_YSL_YJY_ISR
,,,交易保（有赎楼）,交易保（无赎楼）,提放保（有赎楼）,提放保（无赎楼） ,及时贷（交易赎楼）,及时贷（非交易赎楼）,及时贷（交易提放）,及时贷（非交易提放）,按揭服务,买付保（担保模式）,买付保（保险无赎楼模式）,买付保（保险有赎楼模式）
,,,,,,,,,,,,,,
Basic,applyNo,订单编号,*,*,*,*,*,*,*,*,*,*,*,*
Basic,buyerName,买方姓名,,,,,,,,,*,,,
Basic,sellerNameAJ,卖方姓名,,,,,,,,,*,,,
Basic,houseAddress,房屋地址,,,,,,,,,*,,,
Basic,sellerName,客户姓名,*,*,*,*,*,*,*,*,,*,*,*
Basic,idCardNo,证件号码,*,*,*,*,*,*,*,*,,*,*,*
Basic,phone,客户联系方式,*,*,*,*,*,*,*,*,,*,*,*
Basic,productName,业务品种,*,*,*,*,*,*,*,*,*,*,*,*
Basic,tailReleaseNode,放款节点,*,*,*,*,*,*,*,*,*,*,*,*
Basic,newLoanType,贷款类型,,,,,,,,,*,,,
Basic,newLoanBankName,新贷款银行,,,,,,,,,*,,,
Basic,applyStatus,订单状态,*,*,*,*,*,*,*,*,,*,*,*
Basic,houseArea,房产区域,*,*,*,*,*,*,*,*,,*,*,*
Basic,houseAddress,房产地址,*,*,*,*,*,*,*,*,,*,*,*
Basic,landExpiry,房产年限,*,*,*,*,*,*,*,*,,*,*,*
Basic,preUseAmountDate,预计用款时间,*,*,*,*,*,*,*,*,,*,*,*
Basic,businessSum,借款金额（元）,,,,,*,*,*,*,,,,
Basic,guaranteeAmount,（申请）保险金额（元）,,,,,,,,,,*,*,*
Basic,salesUserName,渠道经理,*,*,*,*,*,*,*,*,*,*,*,*
Basic,salesUserTel,渠道经理联系方式,*,*,*,*,*,*,*,*,,*,*,*
Basic,contact,渠道联系人,*,*,*,*,*,*,*,*,,*,*,*
Basic,channelPhone,渠道联系方式,*,*,*,*,*,*,*,*,,*,*,*
Basic,partnerBankName,合作机构,*,*,*,*,*,*,*,*,,*,*,*
Loan,thirdPayee,新贷款借款人,*,*,*,*,*,*,*,*,,*,,
Loan,newLoanType,贷款类型,*,*,*,*,*,*,*,*,,*,,
Loan,newLoanBankName,新贷款机构,*,*,*,*,*,*,*,*,,*,,
Loan,bizLoanAmount,商业贷款金额(元),*,*,*,*,*,*,*,*,,*,,
Deal,buyerName,买方姓名,*,*,,,*,,*,,,*,*,*
Deal,buyerCertId,证件号码,*,*,,,*,,*,,,*,*,*
Deal,buyerTel,联系方式,*,*,,,*,,*,,,*,*,*
Deal,tradingPrice,成交价（元）,*,*,,,*,,*,,,*,*,*
Deal,earnestMoney,定金（元）,*,*,,,*,,*,,,*,*,*
Deal,tailAmount,尾款（元）,*,*,,,*,,*,,,*,*,*
Deal,downPaymentAmount,首付款（元）,*,*,,,*,,*,,,*,*,*
Deal,loanOffer,贷款申报价（元）,*,*,,,*,,*,,,*,*,*
Deal,transferOffer,过户申报价（元）,*,*,,,*,,*,,,*,*,*
Redeem,busiDeductPrincipalBalance,商贷本金余额（元）,*,,*,,*,*,,,,*,,*
Redeem,ownFundAmount,客户自有资金（元）,*,,*,,*,*,,,,*,,*
Redeem,ransomBorrowAmount,赎楼金额（元）,*,,*,,*,*,,,,*,,*
Redeem,tailAmount,尾款金额（元）,*,,*,,,,,,,*,,*
Redeem,oriLoanBankName,原贷款机构,*,,*,,*,*,,,,*,,*
